title,job_url_direct,company,company_industry,location,job_type,id,site,job_url,date_posted,is_remote,company_url_direct,lat,lon,_no_link_,lat_prev,lon_prev,location_refined,geo_source,geocode_confidence
Duales Studium – Bachelor of Science Informatik / Data Science,https://kbv.hr4you.org/job/view/1535,Kassenärztliche Bundesvereinigung KdöR,,"Berlin, BE, DE",,in-cf73ea3119965441,indeed,https://de.indeed.com/viewjob?jk=cf73ea3119965441,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior/Staff Data Analyst - People Analytics,https://jobs.smartrecruiters.com/DeliveryHero/744000088496194-senior-staff-data-analyst-people-analytics,Delivery Hero,Internet And Software,"Berlin, BE, DE",fulltime,in-70beeb4f032e02d4,indeed,https://de.indeed.com/viewjob?jk=70beeb4f032e02d4,2025-10-17,False,https://bit.ly/3bYJHPP,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Data Scientist (Consumer, Global Search)",https://jobs.smartrecruiters.com/DeliveryHero/744000088491714-data-scientist-consumer-global-search-,Delivery Hero,Internet And Software,"Berlin, BE, DE",fulltime,in-d49556993705961d,indeed,https://de.indeed.com/viewjob?jk=d49556993705961d,2025-10-17,False,https://bit.ly/3bYJHPP,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Data Architect (f/m/d),https://join.com/companies/havau/15040839-data-architect-f-m-d?pid=a13795120131dbe48464,hallo theo,,"Berlin, BE, DE",,in-9e78d48aa6969204,indeed,https://de.indeed.com/viewjob?jk=9e78d48aa6969204,2025-10-16,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Data Analyst, AWS Fraud Prevention",https://www.amazon.jobs/jobs/3110410/data-analyst-aws-fraud-prevention?cmpid=DA_INAD200785B,Amazon Web Services,,"Berlin, BE, DE",fulltime,in-6cfd81be77a95b2c,indeed,https://de.indeed.com/viewjob?jk=6cfd81be77a95b2c,2025-10-16,False,https://aws.amazon.com/careers/why-aws/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Business Analyst, AWS Fraud Prevention, Compromise",https://www.amazon.jobs/jobs/3110373/business-analyst-aws-fraud-prevention-compromise?cmpid=DA_INAD200785B,Amazon Web Services,,"Berlin, BE, DE",fulltime,in-0d5e728008c09c53,indeed,https://de.indeed.com/viewjob?jk=0d5e728008c09c53,2025-10-16,False,https://aws.amazon.com/careers/why-aws/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
VP/ Director of Finance (f/m/d),https://jobs.ashbyhq.com/upvest/83a54069-a5ba-4c26-a084-5683b1e01be1?utm_source=O3qYbowvb0,Upvest,Banks And Financial Services,"Berlin, BE, DE",fulltime,in-cfb14b7762e87b9e,indeed,https://de.indeed.com/viewjob?jk=cfb14b7762e87b9e,2025-10-16,True,https://upvest.co/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Consultant - Risk & Resilience,https://www.mckinsey.com/careers/search-jobs/jobs/consultant-riskresilience-102040,McKinsey & Company,,"Berlin, BE, DE",,in-9e6990d4d9cfd0c5,indeed,https://de.indeed.com/viewjob?jk=9e6990d4d9cfd0c5,2025-10-16,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
(Junior) Business Process Manager:in (w/m/d),https://jobs.smartrecruiters.com/EnpalBV/744000088284971--junior-business-process-manager-in-w-m-d-,Enpal GmbH,,"Berlin, BE, DE",fulltime,in-c111e54c8c9c6bc8,indeed,https://de.indeed.com/viewjob?jk=c111e54c8c9c6bc8,2025-10-16,False,https://www.enpal.de/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Business Process Manager:in (w/m/d),https://jobs.smartrecruiters.com/EnpalBV/744000088285024-business-process-manager-in-w-m-d-,Enpal GmbH,,"Berlin, BE, DE",fulltime,in-79367037a2cab5e6,indeed,https://de.indeed.com/viewjob?jk=79367037a2cab5e6,2025-10-16,False,https://www.enpal.de/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Data Science Analyst (all genders),https://www.accenture.com/de-de/careers/jobdetails?id=R00291821_de&title=Data%20Science%20Analyst%20(all%20genders),Accenture,,"Berlin, BE, DE",fulltime,in-fd95cbd5b71b7221,indeed,https://de.indeed.com/viewjob?jk=fd95cbd5b71b7221,2025-10-15,True,https://www.accenture.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Controller / Data Analyst (w/m/d),https://www.vsb.energy/de/de/karriere/stellenangebote/Senior-Controller-Data-Analyst-wmd-de-j926.html,VSB Gruppe,,"Berlin, BE, DE",,in-6e739b5ef69b68fc,indeed,https://de.indeed.com/viewjob?jk=6e739b5ef69b68fc,2025-10-15,False,https://www.vsb.energy/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Product Analyst,https://jobs.lever.co/xsolla/8f786cd2-89a5-4b2a-a7b9-f9aec8b4a412?lever-source=Indeed,Xsolla,,"Berlin, BE, DE",fulltime,in-0392d95244de8079,indeed,https://de.indeed.com/viewjob?jk=0392d95244de8079,2025-10-15,True,https://xsolla.com/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
CRM Analyst,http://de.indeed.com/job/crm-analyst-b8ef7df4938e12fe,GetAway Group,,"Berlin, BE, DE",fulltime,in-b8ef7df4938e12fe,indeed,https://de.indeed.com/viewjob?jk=b8ef7df4938e12fe,2025-10-15,True,http://www.getaway.group,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Product Manager - Travel,https://jobs.ashbyhq.com/kayak/2cea6e6b-1a6c-44a4-bdf3-76cb28cd487a?utm_source=AB9aX3yJ19,KAYAK,,"Berlin, BE, DE",fulltime,in-dfdb5f37033e9b19,indeed,https://de.indeed.com/viewjob?jk=dfdb5f37033e9b19,2025-10-14,False,https://www.kayak.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Data Analyst,https://jobs.ashbyhq.com/yepoda/86b8a591-f5d7-4130-b387-219efede67c7?utm_source=Eroxjv8Y9r,Yepoda,,"Berlin, BE, DE",fulltime,in-5237259badc180be,indeed,https://de.indeed.com/viewjob?jk=5237259badc180be,2025-10-14,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Senior Machine Learning Engineer, Search",https://grnh.se/bolv8lnv2us,Soundcloud,,"Berlin, BE, DE",,in-9153b853931f9359,indeed,https://de.indeed.com/viewjob?jk=9153b853931f9359,2025-10-14,True,https://www.soundcloud.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Finance Analyst Intern,https://jobs.lever.co/nelly/3dece1e5-efc6-4a71-bc97-f6ca4c0c3c61?lever-source=Indeed,Nelly Solutions,,"Berlin, BE, DE",fulltime,in-f5074682476fa99c,indeed,https://de.indeed.com/viewjob?jk=f5074682476fa99c,2025-10-14,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Praktikum – Corporate Governance Executive Compensation Analyst EMEA (m/w/d) (Deutschsprachig),https://issgovernance.wd1.myworkdayjobs.com/en-US/ISScareers/job/Berlin-Germany/Praktikum---Corporate-Governance-Executive-Compensation-Analyst-EMEA--m-w-d---Deutschsprachig-_JR_9243,Institutional Shareholder Services,,"Berlin, BE, DE",fulltime,in-f45eadb64064ad06,indeed,https://de.indeed.com/viewjob?jk=f45eadb64064ad06,2025-10-14,False,https://www.issgovernance.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Data & Analytics Lead (SaaS GTM, Tableau & BI Strategy) (m/f/d)",,Shiftmove,,"Berlin, Berlin, Germany",,li-4312081957,linkedin,https://www.linkedin.com/jobs/view/4312081957,2025-10-20,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Intern Venture Development (d/m/w),,Enpal,,"Berlin, Berlin, Germany",,li-4260121602,linkedin,https://www.linkedin.com/jobs/view/4260121602,2025-10-20,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
"Marketplace Operations Analyst (m/w/d) @ Uber Eats, Berlin",,worknow for Uber,,"Berlin, Germany",,li-4314374219,linkedin,https://www.linkedin.com/jobs/view/4314374219,2025-10-20,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Germany, Berlin, Germany",geocode:failed,low
Staff Product Analyst - Consumer Product,,Delivery Hero,,"Berlin, Berlin, Germany",,li-4272012222,linkedin,https://www.linkedin.com/jobs/view/4272012222,2025-10-19,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Staff Product Analyst - (Logistics),,Delivery Hero,,"Berlin, Berlin, Germany",,li-4272088142,linkedin,https://www.linkedin.com/jobs/view/4272088142,2025-10-19,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
"Junior ESG Data and Reporting Analyst, Operations (m/f/x)",,HelloFresh,,"Berlin, Berlin, Germany",,li-4305780059,linkedin,https://www.linkedin.com/jobs/view/4305780059,2025-10-18,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data Analyst (m/w/d),,FUNKE,,"Berlin, Berlin, Germany",,li-4299426242,linkedin,https://www.linkedin.com/jobs/view/4299426242,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Product Data Analyst,,Freenow,,"Berlin, Berlin, Germany",,li-4274303592,linkedin,https://www.linkedin.com/jobs/view/4274303592,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data Analyst (m/f/d),,Getsafe,,"Berlin, Germany",,li-4316311308,linkedin,https://www.linkedin.com/jobs/view/4316311308,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Germany, Berlin, Germany",geocode:failed,low
"Data Analyst, AWS Fraud Prevention",,Amazon Web Services (AWS),,"Berlin, Germany",,li-4316036525,linkedin,https://www.linkedin.com/jobs/view/4316036525,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Germany, Berlin, Germany",geocode:failed,low
Senior Data Analyst - Size & Fit (all genders),,Zalando,,"Berlin, Berlin, Germany",,li-4284413051,linkedin,https://www.linkedin.com/jobs/view/4284413051,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data Engineer (m|w|d),,idealo internet GmbH,,"Berlin, Berlin, Germany",,li-4292173562,linkedin,https://www.linkedin.com/jobs/view/4292173562,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data / Business Analyst (m/w/d) – KPI- / Qualitätsmanagement,,Sparkassen Rating und Risikosysteme,,"Berlin, Berlin, Germany",,li-4315553964,linkedin,https://www.linkedin.com/jobs/view/4315553964,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Dateneingeber/in (m/w/d) in Sterbfritz gesucht!,,SOLUA GmbH,,"Berlin, Berlin, Germany",,li-4316524205,linkedin,https://www.linkedin.com/jobs/view/4316524205,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Dispatching Intelligence Analyst (m/f/d),,Flink,,"Berlin, Berlin, Germany",,li-4315212636,linkedin,https://www.linkedin.com/jobs/view/4315212636,2025-10-16,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Game Data Analyst,,New Moon Production,,,,li-4313046163,linkedin,https://www.linkedin.com/jobs/view/4313046163,2025-10-16,False,,51.1638175000,10.4478313000,,52.5200000000,13.4050000000,"Berlin, Germany",geocode:nominatim,medium
Decision Scientist (m/f/d),,Flink,,"Berlin, Berlin, Germany",,li-4315210656,linkedin,https://www.linkedin.com/jobs/view/4315210656,2025-10-16,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data Scientist (Student / Working Student) – Cloover ⚡,,Cloover,,"Berlin, Berlin, Germany",,li-4312283668,linkedin,https://www.linkedin.com/jobs/view/4312283668,2025-10-15,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Trainee (m/w/d) – Risikomanagement | Data Science,,Sparkassen Rating und Risikosysteme,,"Berlin, Berlin, Germany",,li-4312414112,linkedin,https://www.linkedin.com/jobs/view/4312414112,2025-10-15,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
"Data Analytics Lead, Consumer Pricing",,Wolt,,"Berlin, Berlin, Germany",,li-4314771691,linkedin,https://www.linkedin.com/jobs/view/4314771691,2025-10-15,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Initiative Application,,Flip,,"Berlin, Germany",,li-4082229620,linkedin,https://www.linkedin.com/jobs/view/4082229620,2025-10-15,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Germany, Berlin, Germany",geocode:failed,low
Dateneingeber/in (m/w/d),,SOLUA GmbH,,"Berlin, Berlin, Germany",,li-4315394197,linkedin,https://www.linkedin.com/jobs/view/4315394197,2025-10-15,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Senior Data Analyst (f/m/d),,think-cell Software,,"Berlin, Berlin, Germany",,li-4314279861,linkedin,https://www.linkedin.com/jobs/view/4314279861,2025-10-14,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Working student (f/m/d) - Digital Analytics,,SAP,,"Berlin, Berlin, Germany",,li-4314291633,linkedin,https://www.linkedin.com/jobs/view/4314291633,2025-10-14,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Fleet Performance Analyst,,Wolt,,"Berlin, Berlin, Germany",,li-4316613262,linkedin,https://www.linkedin.com/jobs/view/4316613262,,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Digital Analyst E-Commerce,,Instaffo,,"Berlin, Berlin, Germany",,li-4264100098,linkedin,https://www.linkedin.com/jobs/view/4264100098,,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Data Analyst (w/m/d) in der Gruppe „Geschäftsstelle für den Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung“,,Statistisches Bundesamt (Destatis),,"Berlin, Berlin, Germany",,li-4314976024,linkedin,https://www.linkedin.com/jobs/view/4314976024,,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
Senior Data Scientist - Quick Commerce,,Delivery Hero,,"Berlin, Berlin, Germany",,li-4306618710,linkedin,https://www.linkedin.com/jobs/view/4306618710,,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, Berlin, Germany, Berlin, Germany",geocode:failed,low
(Senior) Fullstack Software Engineer (Java/Kotlin/Python/JavaScript) (m/f/x) (onsite / remote in Germany),https://jobs.smartrecruiters.com/ScalableGmbH/744000089003369--senior-fullstack-software-engineer-java-kotlin-python-javascript-m-f-x-onsite-remote-in-germany-,Scalable,,"Berlin, BE, DE",fulltime,in-6d0a556146a0ce5d,indeed,https://de.indeed.com/viewjob?jk=6d0a556146a0ce5d,2025-10-21,True,https://scalablepress.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
"Software Engineer, Platform",https://jobs.ashbyhq.com/AeroVect/b25487ea-a90d-4083-abe7-5f571c28f8c7?utm_source=Eop7pMkGOp,AeroVect,,"Berlin, BE, DE",fulltime,in-36a054551fbe5cf6,indeed,https://de.indeed.com/viewjob?jk=36a054551fbe5cf6,2025-10-20,True,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
DevOps Engineer - Database Infra Team in CloudOS Group in P&E SAP Signavio (m/f/d),https://jobs.sap.com/job/Berlin-DevOps-Engineer-Database-Infra-Team-in-CloudOS-Group-in-P&E-SAP-Signavio-%28mfd%29-10557/1260098001/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed,SAP,Internet And Software,"Berlin, BE, DE",fulltime,in-ef61d167dd5c5ea4,indeed,https://de.indeed.com/viewjob?jk=ef61d167dd5c5ea4,2025-10-20,False,http://jobs.sap.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Machine Learning Engineer I,https://www.sumup.com/careers/positions//berlin-germany/data-engineerscientist/senior-machine-learning-engineer-i/8128496002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions,SumUp,,"Berlin, BE, DE",,in-6e11f6b50ec5bf7b,indeed,https://de.indeed.com/viewjob?jk=6e11f6b50ec5bf7b,2025-10-20,False,https://www.sumup.com/careers/,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
DevOps Engineer Mobile Banking EU,https://jobs.smartrecruiters.com/Avaloq1/744000088842040-devops-engineer-mobile-banking-eu,Avaloq,,"Berlin, BE, DE",fulltime,in-913b3ebd2e974e3e,indeed,https://de.indeed.com/viewjob?jk=913b3ebd2e974e3e,2025-10-20,False,https://www.avaloq.com/en/home,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
QA Automation Engineer,https://dhi.career.emply.com/ad/qa-automation-engineer/d4aob9/en,DHI Group,,"Berlin, BE, DE",fulltime,in-0254390aeed5dc29,indeed,https://de.indeed.com/viewjob?jk=0254390aeed5dc29,2025-10-20,False,https://www.dhigroup.com/contact-us,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Senior Developer (f/m/d) - SAP LeanIX,https://jobs.sap.com/job/Berlin-Senior-Developer-%28fmd%29-SAP-LeanIX-10557/1237952801/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed,SAP,Internet And Software,"Berlin, BE, DE",fulltime,in-72a84cb0f2aa24b9,indeed,https://de.indeed.com/viewjob?jk=72a84cb0f2aa24b9,2025-10-18,True,http://jobs.sap.com,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Java Developer,https://codefirstgirls.bamboohr.com/careers/113?source=indeed&src=indeed&postedDate=2025-10-17,CODE FIRST GIRLS,,"Berlin, BE, DE",fulltime,in-b77e3dbc0ff40ba0,indeed,https://de.indeed.com/viewjob?jk=b77e3dbc0ff40ba0,2025-10-17,False,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
Mission Operations Segment - Software Engineer,https://constellr.recruitee.com/o/mission-operations-segment-software-engineer?source=Indeed,ConstellR,,"Berlin, BE, DE",fulltime,in-3dd823e5ca9cd126,indeed,https://de.indeed.com/viewjob?jk=3dd823e5ca9cd126,2025-10-17,True,,52.5200000000,13.4050000000,,52.5200000000,13.4050000000,"Berlin, BE, DE, Berlin, Germany",geocode:failed,low
