course_name,url,provider,german_level,duration,price,location,start_info,schedule,phone,requirements,completion,registration,appointment_url,booking_url,lat,lon
Intensive - B2,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,B2,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
Intensive - C1,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,C1,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
Intensive - C2,https://www.humboldt-institut.org/en/german-courses/adults/,Humboldt-Institut Berlin,C2,Flexible,Premium pricing,Berlin-Mitte,Check website or contact school,30 lessons/week with accommodation,See website,,,,,,52.52,13.409
German Course - A1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.1,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.2,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.1,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.2,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.1,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.2,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.1,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.2,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - C1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,C1,3-3.5 months,€200-235,"Turmstraße, Berlin Mitte",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.1,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.2,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.1,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.2,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.1,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.2,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.1,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.2,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - C1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,C1,3-3.5 months,€200-235,"Linienstraße 162, 10115 Berlin",Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.1,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A1.2,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.1,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - A2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,A2.2,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.1,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B1.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B1.2,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.1,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - B2.2,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,B2.2,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
German Course - C1,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,VHS Berlin Mitte,C1,3-3.5 months,€200-235,Various locations in Mitte,Check online catalog,"2-3x per week, 3h per session",030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,52.52,13.409
Intensive German Concise (2 weeks) - A1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A1,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
Intensive German Concise (2 weeks) - A2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A2,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
Intensive German Concise (2 weeks) - B1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B1,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
Intensive German Concise (2 weeks) - B2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B2,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
Intensive German Concise (2 weeks) - C1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C1,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
Intensive German Concise (2 weeks) - C2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C2,10 days (50 lessons),€739,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Mon-Fri, 5 lessons/day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - A1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A1,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - A2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A2,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - B1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B1,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - B2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B2,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - C1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C1,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Morning Course - C2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C2,12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,"Morning, half-day",+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - A1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A1,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - A2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,A2,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - B1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B1,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - B2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,B2,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - C1,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C1,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
German Evening Course - C2,https://www.goethe.de/ins/de/en/ort/ber.html,Goethe-Institut Berlin,C2,8-12 weeks (72 lessons),€799,"Neue Schönhauser Str. 20, 10178 Berlin",Check website for current dates,2-3 evenings/week,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,52.52,13.405
