"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","is_remote","company_industry","company_url_direct"
"in-cf73ea3119965441","indeed","https://de.indeed.com/viewjob?jk=cf73ea3119965441","https://kbv.hr4you.org/job/view/1535","Duales Studium – Bachelor of Science Informatik / Data Science","Kassenärztliche Bundesvereinigung KdöR","Berlin, BE, DE","2025-10-17","",False,"",""
"in-70beeb4f032e02d4","indeed","https://de.indeed.com/viewjob?jk=70beeb4f032e02d4","https://jobs.smartrecruiters.com/DeliveryHero/744000088496194-senior-staff-data-analyst-people-analytics","Senior/Staff Data Analyst - People Analytics","Delivery Hero","Berlin, BE, DE","2025-10-17","fulltime",False,"Internet And Software","https://bit.ly/3bYJHPP"
"in-d49556993705961d","indeed","https://de.indeed.com/viewjob?jk=d49556993705961d","https://jobs.smartrecruiters.com/DeliveryHero/744000088491714-data-scientist-consumer-global-search-","Data Scientist (Consumer, Global Search)","Delivery Hero","Berlin, BE, DE","2025-10-17","fulltime",False,"Internet And Software","https://bit.ly/3bYJHPP"
"in-9e78d48aa6969204","indeed","https://de.indeed.com/viewjob?jk=9e78d48aa6969204","https://join.com/companies/havau/15040839-data-architect-f-m-d?pid=a13795120131dbe48464","Data Architect (f/m/d)","hallo theo","Berlin, BE, DE","2025-10-16","",False,"",""
"in-6cfd81be77a95b2c","indeed","https://de.indeed.com/viewjob?jk=6cfd81be77a95b2c","https://www.amazon.jobs/jobs/3110410/data-analyst-aws-fraud-prevention?cmpid=DA_INAD200785B","Data Analyst, AWS Fraud Prevention","Amazon Web Services","Berlin, BE, DE","2025-10-16","fulltime",False,"","https://aws.amazon.com/careers/why-aws/"
"in-0d5e728008c09c53","indeed","https://de.indeed.com/viewjob?jk=0d5e728008c09c53","https://www.amazon.jobs/jobs/3110373/business-analyst-aws-fraud-prevention-compromise?cmpid=DA_INAD200785B","Business Analyst, AWS Fraud Prevention, Compromise","Amazon Web Services","Berlin, BE, DE","2025-10-16","fulltime",False,"","https://aws.amazon.com/careers/why-aws/"
"in-cfb14b7762e87b9e","indeed","https://de.indeed.com/viewjob?jk=cfb14b7762e87b9e","https://jobs.ashbyhq.com/upvest/83a54069-a5ba-4c26-a084-5683b1e01be1?utm_source=O3qYbowvb0","VP/ Director of Finance (f/m/d)","Upvest","Berlin, BE, DE","2025-10-16","fulltime",True,"Banks And Financial Services","https://upvest.co/"
"in-9e6990d4d9cfd0c5","indeed","https://de.indeed.com/viewjob?jk=9e6990d4d9cfd0c5","https://www.mckinsey.com/careers/search-jobs/jobs/consultant-riskresilience-102040","Consultant - Risk & Resilience","McKinsey & Company","Berlin, BE, DE","2025-10-16","",False,"",""
"in-c111e54c8c9c6bc8","indeed","https://de.indeed.com/viewjob?jk=c111e54c8c9c6bc8","https://jobs.smartrecruiters.com/EnpalBV/744000088284971--junior-business-process-manager-in-w-m-d-","(Junior) Business Process Manager:in (w/m/d)","Enpal GmbH","Berlin, BE, DE","2025-10-16","fulltime",False,"","https://www.enpal.de/"
"in-79367037a2cab5e6","indeed","https://de.indeed.com/viewjob?jk=79367037a2cab5e6","https://jobs.smartrecruiters.com/EnpalBV/744000088285024-business-process-manager-in-w-m-d-","Business Process Manager:in (w/m/d)","Enpal GmbH","Berlin, BE, DE","2025-10-16","fulltime",False,"","https://www.enpal.de/"
"in-fd95cbd5b71b7221","indeed","https://de.indeed.com/viewjob?jk=fd95cbd5b71b7221","https://www.accenture.com/de-de/careers/jobdetails?id=R00291821_de&title=Data%20Science%20Analyst%20(all%20genders)","Data Science Analyst (all genders)","Accenture","Berlin, BE, DE","2025-10-15","fulltime",True,"","https://www.accenture.com"
"in-6e739b5ef69b68fc","indeed","https://de.indeed.com/viewjob?jk=6e739b5ef69b68fc","https://www.vsb.energy/de/de/karriere/stellenangebote/Senior-Controller-Data-Analyst-wmd-de-j926.html","Senior Controller / Data Analyst (w/m/d)","VSB Gruppe","Berlin, BE, DE","2025-10-15","",False,"","https://www.vsb.energy/"
"in-0392d95244de8079","indeed","https://de.indeed.com/viewjob?jk=0392d95244de8079","https://jobs.lever.co/xsolla/8f786cd2-89a5-4b2a-a7b9-f9aec8b4a412?lever-source=Indeed","Senior Product Analyst","Xsolla","Berlin, BE, DE","2025-10-15","fulltime",True,"","https://xsolla.com/"
"in-b8ef7df4938e12fe","indeed","https://de.indeed.com/viewjob?jk=b8ef7df4938e12fe","http://de.indeed.com/job/crm-analyst-b8ef7df4938e12fe","CRM Analyst","GetAway Group","Berlin, BE, DE","2025-10-15","fulltime",True,"","http://www.getaway.group"
"in-dfdb5f37033e9b19","indeed","https://de.indeed.com/viewjob?jk=dfdb5f37033e9b19","https://jobs.ashbyhq.com/kayak/2cea6e6b-1a6c-44a4-bdf3-76cb28cd487a?utm_source=AB9aX3yJ19","Senior Product Manager - Travel","KAYAK","Berlin, BE, DE","2025-10-14","fulltime",False,"","https://www.kayak.com"
"in-5237259badc180be","indeed","https://de.indeed.com/viewjob?jk=5237259badc180be","https://jobs.ashbyhq.com/yepoda/86b8a591-f5d7-4130-b387-219efede67c7?utm_source=Eroxjv8Y9r","Senior Data Analyst","Yepoda","Berlin, BE, DE","2025-10-14","fulltime",False,"",""
"in-9153b853931f9359","indeed","https://de.indeed.com/viewjob?jk=9153b853931f9359","https://grnh.se/bolv8lnv2us","Senior Machine Learning Engineer, Search","Soundcloud","Berlin, BE, DE","2025-10-14","",True,"","https://www.soundcloud.com"
"in-f5074682476fa99c","indeed","https://de.indeed.com/viewjob?jk=f5074682476fa99c","https://jobs.lever.co/nelly/3dece1e5-efc6-4a71-bc97-f6ca4c0c3c61?lever-source=Indeed","Finance Analyst Intern","Nelly Solutions","Berlin, BE, DE","2025-10-14","fulltime",False,"",""
"in-f45eadb64064ad06","indeed","https://de.indeed.com/viewjob?jk=f45eadb64064ad06","https://issgovernance.wd1.myworkdayjobs.com/en-US/ISScareers/job/Berlin-Germany/Praktikum---Corporate-Governance-Executive-Compensation-Analyst-EMEA--m-w-d---Deutschsprachig-_JR_9243","Praktikum – Corporate Governance Executive Compensation Analyst EMEA (m/w/d) (Deutschsprachig)","Institutional Shareholder Services","Berlin, BE, DE","2025-10-14","fulltime",False,"","https://www.issgovernance.com"
"li-4312081957","linkedin","https://www.linkedin.com/jobs/view/4312081957","","Data & Analytics Lead (SaaS GTM, Tableau & BI Strategy) (m/f/d)","Shiftmove","Berlin, Berlin, Germany","2025-10-20","",False,"",""
"li-4260121602","linkedin","https://www.linkedin.com/jobs/view/4260121602","","Intern Venture Development (d/m/w)","Enpal","Berlin, Berlin, Germany","2025-10-20","",False,"",""
"li-4314374219","linkedin","https://www.linkedin.com/jobs/view/4314374219","","Marketplace Operations Analyst (m/w/d) @ Uber Eats, Berlin","worknow for Uber","Berlin, Germany","2025-10-20","",False,"",""
"li-4272012222","linkedin","https://www.linkedin.com/jobs/view/4272012222","","Staff Product Analyst - Consumer Product","Delivery Hero","Berlin, Berlin, Germany","2025-10-19","",False,"",""
"li-4272088142","linkedin","https://www.linkedin.com/jobs/view/4272088142","","Staff Product Analyst - (Logistics)","Delivery Hero","Berlin, Berlin, Germany","2025-10-19","",False,"",""
"li-4305780059","linkedin","https://www.linkedin.com/jobs/view/4305780059","","Junior ESG Data and Reporting Analyst, Operations (m/f/x)","HelloFresh","Berlin, Berlin, Germany","2025-10-18","",False,"",""
"li-4299426242","linkedin","https://www.linkedin.com/jobs/view/4299426242","","Data Analyst (m/w/d)","FUNKE","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4274303592","linkedin","https://www.linkedin.com/jobs/view/4274303592","","Product Data Analyst","Freenow","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4316311308","linkedin","https://www.linkedin.com/jobs/view/4316311308","","Data Analyst (m/f/d)","Getsafe","Berlin, Germany","2025-10-17","",False,"",""
"li-4316036525","linkedin","https://www.linkedin.com/jobs/view/4316036525","","Data Analyst, AWS Fraud Prevention","Amazon Web Services (AWS)","Berlin, Germany","2025-10-17","",False,"",""
"li-4284413051","linkedin","https://www.linkedin.com/jobs/view/4284413051","","Senior Data Analyst - Size & Fit (all genders)","Zalando","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4292173562","linkedin","https://www.linkedin.com/jobs/view/4292173562","","Data Engineer (m|w|d)","idealo internet GmbH","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4315553964","linkedin","https://www.linkedin.com/jobs/view/4315553964","","Data / Business Analyst (m/w/d) – KPI- / Qualitätsmanagement","Sparkassen Rating und Risikosysteme","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4316524205","linkedin","https://www.linkedin.com/jobs/view/4316524205","","Dateneingeber/in (m/w/d) in Sterbfritz gesucht!","SOLUA GmbH","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4315212636","linkedin","https://www.linkedin.com/jobs/view/4315212636","","Dispatching Intelligence Analyst (m/f/d)","Flink","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4313046163","linkedin","https://www.linkedin.com/jobs/view/4313046163","","Game Data Analyst","New Moon Production","","2025-10-16","",False,"",""
"li-4315210656","linkedin","https://www.linkedin.com/jobs/view/4315210656","","Decision Scientist (m/f/d)","Flink","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4312283668","linkedin","https://www.linkedin.com/jobs/view/4312283668","","Data Scientist (Student / Working Student) – Cloover ⚡","Cloover","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4312414112","linkedin","https://www.linkedin.com/jobs/view/4312414112","","Trainee (m/w/d) – Risikomanagement | Data Science","Sparkassen Rating und Risikosysteme","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4314771691","linkedin","https://www.linkedin.com/jobs/view/4314771691","","Data Analytics Lead, Consumer Pricing","Wolt","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4082229620","linkedin","https://www.linkedin.com/jobs/view/4082229620","","Initiative Application","Flip","Berlin, Germany","2025-10-15","",False,"",""
"li-4315394197","linkedin","https://www.linkedin.com/jobs/view/4315394197","","Dateneingeber/in (m/w/d)","SOLUA GmbH","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4314279861","linkedin","https://www.linkedin.com/jobs/view/4314279861","","Senior Data Analyst (f/m/d)","think-cell Software","Berlin, Berlin, Germany","2025-10-14","",False,"",""
"li-4314291633","linkedin","https://www.linkedin.com/jobs/view/4314291633","","Working student (f/m/d) - Digital Analytics","SAP","Berlin, Berlin, Germany","2025-10-14","",False,"",""
"li-4316613262","linkedin","https://www.linkedin.com/jobs/view/4316613262","","Fleet Performance Analyst","Wolt","Berlin, Berlin, Germany","","",False,"",""
"li-4264100098","linkedin","https://www.linkedin.com/jobs/view/4264100098","","Digital Analyst E-Commerce","Instaffo","Berlin, Berlin, Germany","","",False,"",""
"li-4314976024","linkedin","https://www.linkedin.com/jobs/view/4314976024","","Data Analyst (w/m/d) in der Gruppe „Geschäftsstelle für den Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung“","Statistisches Bundesamt (Destatis)","Berlin, Berlin, Germany","","",False,"",""
"li-4306618710","linkedin","https://www.linkedin.com/jobs/view/4306618710","","Senior Data Scientist - Quick Commerce","Delivery Hero","Berlin, Berlin, Germany","","",False,"",""
"in-6d0a556146a0ce5d","indeed","https://de.indeed.com/viewjob?jk=6d0a556146a0ce5d","https://jobs.smartrecruiters.com/ScalableGmbH/744000089003369--senior-fullstack-software-engineer-java-kotlin-python-javascript-m-f-x-onsite-remote-in-germany-","(Senior) Fullstack Software Engineer (Java/Kotlin/Python/JavaScript) (m/f/x) (onsite / remote in Germany)","Scalable","Berlin, BE, DE","2025-10-21","fulltime",True,"","https://scalablepress.com"
"in-36a054551fbe5cf6","indeed","https://de.indeed.com/viewjob?jk=36a054551fbe5cf6","https://jobs.ashbyhq.com/AeroVect/b25487ea-a90d-4083-abe7-5f571c28f8c7?utm_source=Eop7pMkGOp","Software Engineer, Platform","AeroVect","Berlin, BE, DE","2025-10-20","fulltime",True,"",""
"in-ef61d167dd5c5ea4","indeed","https://de.indeed.com/viewjob?jk=ef61d167dd5c5ea4","https://jobs.sap.com/job/Berlin-DevOps-Engineer-Database-Infra-Team-in-CloudOS-Group-in-P&E-SAP-Signavio-%28mfd%29-10557/1260098001/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed","DevOps Engineer - Database Infra Team in CloudOS Group in P&E SAP Signavio (m/f/d)","SAP","Berlin, BE, DE","2025-10-20","fulltime",False,"Internet And Software","http://jobs.sap.com"
"in-6e11f6b50ec5bf7b","indeed","https://de.indeed.com/viewjob?jk=6e11f6b50ec5bf7b","https://www.sumup.com/careers/positions//berlin-germany/data-engineerscientist/senior-machine-learning-engineer-i/8128496002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_2%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions","Senior Machine Learning Engineer I","SumUp","Berlin, BE, DE","2025-10-20","",False,"","https://www.sumup.com/careers/"
"in-913b3ebd2e974e3e","indeed","https://de.indeed.com/viewjob?jk=913b3ebd2e974e3e","https://jobs.smartrecruiters.com/Avaloq1/744000088842040-devops-engineer-mobile-banking-eu","DevOps Engineer Mobile Banking EU","Avaloq","Berlin, BE, DE","2025-10-20","fulltime",False,"","https://www.avaloq.com/en/home"
"in-0254390aeed5dc29","indeed","https://de.indeed.com/viewjob?jk=0254390aeed5dc29","https://dhi.career.emply.com/ad/qa-automation-engineer/d4aob9/en","QA Automation Engineer","DHI Group","Berlin, BE, DE","2025-10-20","fulltime",False,"","https://www.dhigroup.com/contact-us"
"in-72a84cb0f2aa24b9","indeed","https://de.indeed.com/viewjob?jk=72a84cb0f2aa24b9","https://jobs.sap.com/job/Berlin-Senior-Developer-%28fmd%29-SAP-LeanIX-10557/1237952801/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed","Senior Developer (f/m/d) - SAP LeanIX","SAP","Berlin, BE, DE","2025-10-18","fulltime",True,"Internet And Software","http://jobs.sap.com"
"in-b77e3dbc0ff40ba0","indeed","https://de.indeed.com/viewjob?jk=b77e3dbc0ff40ba0","https://codefirstgirls.bamboohr.com/careers/113?source=indeed&src=indeed&postedDate=2025-10-17","Java Developer","CODE FIRST GIRLS","Berlin, BE, DE","2025-10-17","fulltime",False,"",""
"in-3dd823e5ca9cd126","indeed","https://de.indeed.com/viewjob?jk=3dd823e5ca9cd126","https://constellr.recruitee.com/o/mission-operations-segment-software-engineer?source=Indeed","Mission Operations Segment - Software Engineer","ConstellR","Berlin, BE, DE","2025-10-17","fulltime",True,"",""
"in-f862f1e5fdba8eb4","indeed","https://de.indeed.com/viewjob?jk=f862f1e5fdba8eb4","https://constellr.recruitee.com/o/full-stack-developer-mission-operations-segment?source=Indeed","Full-Stack Developer - Mission Operations Segment","ConstellR","Berlin, BE, DE","2025-10-17","fulltime",True,"",""
"in-1d18a3735a2ad24e","indeed","https://de.indeed.com/viewjob?jk=1d18a3735a2ad24e","https://jobs.ashbyhq.com/voodoo/8269ba42-f4ea-4eae-acf5-b81e31c8add4?utm_source=nedy21l72a","Tools Developer - Hole.io","Voodoo","Berlin, BE, DE","2025-10-17","fulltime",True,"","http://www.voodoo.io"
"in-f96740ad6076047e","indeed","https://de.indeed.com/viewjob?jk=f96740ad6076047e","http://de.indeed.com/job/backend-engineer-mfx-f96740ad6076047e","Backend Engineer (m/f/x)","VERBI Software GmbH","Berlin, BE, DE","2025-10-17","fulltime",True,"","https://www.maxqda.com/"
"in-9341181575bfd75e","indeed","https://de.indeed.com/viewjob?jk=9341181575bfd75e","https://jobs.sap.com/job/Berlin-DevOps-Engineer-%28fmd%29-SAP-Sovereign-Cloud-10557/1143784001/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed","DevOps Engineer (f/m/d) - SAP Sovereign Cloud","SAP","Berlin, BE, DE","2025-10-16","fulltime",False,"Internet And Software","http://jobs.sap.com"
"in-fec99f9714761b4f","indeed","https://de.indeed.com/viewjob?jk=fec99f9714761b4f","https://t.gohiring.com/h/63a67b373b59d349078ec087c15519cdd65c7ee9b7f6d4e9ee4faabb4e9a0224?source=Indeed","Customer Reliability Engineer","deepset GmbH","Berlin, BE, DE","2025-10-16","fulltime",True,"",""
"in-f7bab2d18747fca1","indeed","https://de.indeed.com/viewjob?jk=f7bab2d18747fca1","https://grnh.se/dp8mqnin1us","Staff Database Administrator","Wikimedia Foundation","Berlin, BE, DE","2025-10-15","",True,"","http://www.wikimediafoundation.org"
"in-ba02e439d19b7e63","indeed","https://de.indeed.com/viewjob?jk=ba02e439d19b7e63","https://www.karriere.fichtner.de/stellenportal/senior-software-developer-php-python-apis-pimcore","Senior Software Entwickler (m/w/d) – PHP, Python, API’s, Pimcore","Fichtner GmbH & Co. KG","Berlin, BE, DE","2025-10-15","",False,"","https://www.fichtner.de"
"in-af4ad6e4a84706d3","indeed","https://de.indeed.com/viewjob?jk=af4ad6e4a84706d3","https://grnh.se/am64sykh4us","Senior Data Scientist (all genders) in Berlin","Ridedott","Berlin, BE, DE","2025-10-15","fulltime",True,"Auto","https://ridedott.com"
"in-2e1ec31b2b977d70","indeed","https://de.indeed.com/viewjob?jk=2e1ec31b2b977d70","https://www.amazon.jobs/jobs/3079442/cloud-support-associate-german--english-speaking?cmpid=DA_INAD200785B","Cloud Support Associate (German & English speaking)","Amazon Web Services","Berlin, BE, DE","2025-09-10","fulltime",False,"","https://aws.amazon.com/careers/why-aws/"
"li-4259177976","linkedin","https://www.linkedin.com/jobs/view/4259177976","","Senior Full‑Stack Engineer (m/f/d)","Axel Springer National Media & Tech GmbH & Co. KG","Berlin, Germany","2025-10-20","",False,"",""
"li-4316477204","linkedin","https://www.linkedin.com/jobs/view/4316477204","","Java Backend Engineer","MODIFI","Berlin, Berlin, Germany","2025-10-20","",False,"",""
"li-4316477122","linkedin","https://www.linkedin.com/jobs/view/4316477122","","Senior Software Engineer (Fullstack) (f/m/d) - Metrify Smart Metering","Enpal","Berlin, Berlin, Germany","2025-10-20","",False,"",""
"li-4314310478","linkedin","https://www.linkedin.com/jobs/view/4314310478","","Python Software Engineer (all) - Mid-level","Sonia","Berlin, Berlin, Germany","2025-10-19","",False,"",""
"li-4296326120","linkedin","https://www.linkedin.com/jobs/view/4296326120","","Backend Engineer – Python","TechTree","Berlin, Berlin, Germany","2025-10-19","",False,"",""
"li-4314336888","linkedin","https://www.linkedin.com/jobs/view/4314336888","","Part-Time Senior Full-Stack Engineer (Python/Django) (gn)","voiio","Berlin, Berlin, Germany","2025-10-18","",False,"",""
"li-4315583056","linkedin","https://www.linkedin.com/jobs/view/4315583056","","Back End Developer","Digital Waffle","Berlin, Germany","2025-10-17","",False,"",""
"li-4309541359","linkedin","https://www.linkedin.com/jobs/view/4309541359","","Fullstack Python Software Engineer","Cavendish Professionals","Berlin, Germany","2025-10-17","",False,"",""
"li-4316079194","linkedin","https://www.linkedin.com/jobs/view/4316079194","","Python Entwickler (m/w/d)","GULP – experts united","Berlin, Berlin, Germany","2025-10-17","",False,"",""
"li-4313328933","linkedin","https://www.linkedin.com/jobs/view/4313328933","","Full Stack Engineer","Hawksman Technology","Berlin, Germany","2025-10-17","",False,"",""
"li-4312485065","linkedin","https://www.linkedin.com/jobs/view/4312485065","","Full Stack Engineer - Flutter/Python (m/f/d)","BlazeSQL","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4315809384","linkedin","https://www.linkedin.com/jobs/view/4315809384","","Full Stack Engineer(m/f/x)","topi","Berlin, Germany","2025-10-16","",False,"",""
"li-4315680601","linkedin","https://www.linkedin.com/jobs/view/4315680601","","Briink - Backend Engineer, AI/ML & Climate Tech (Mid to Senior)","Merantix Capital","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4313020654","linkedin","https://www.linkedin.com/jobs/view/4313020654","","Briink - Backend Engineer, AI/ML & Climate Tech (Mid to Senior)","Briink","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4315081249","linkedin","https://www.linkedin.com/jobs/view/4315081249","","Junior Softwareentwickler KI & Automatisierung (m/w/d)","mgm technology partners","Berlin, Berlin, Germany","2025-10-16","",False,"",""
"li-4312250437","linkedin","https://www.linkedin.com/jobs/view/4312250437","","Full Stack Engineer - AI Software Start-up","Glorya GmbH","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4315148347","linkedin","https://www.linkedin.com/jobs/view/4315148347","","Backend Developer (m/f/d)","Belden Inc.","Berlin, Germany","2025-10-15","",False,"",""
"li-4279493104","linkedin","https://www.linkedin.com/jobs/view/4279493104","","Senior Backend Engineer","Bolt","Berlin, Berlin, Germany","2025-10-15","",False,"",""
"li-4314288572","linkedin","https://www.linkedin.com/jobs/view/4314288572","","Founding Full-Stack Engineer (Python) (m/f/d)","Pinnipedia Technologies","Berlin, Berlin, Germany","2025-10-14","",False,"",""
"li-4314804855","linkedin","https://www.linkedin.com/jobs/view/4314804855","","Backend Engineer","Kleinanzeigen","Berlin, Berlin, Germany","2025-10-14","",False,"",""
"li-4297844061","linkedin","https://www.linkedin.com/jobs/view/4297844061","","Staff Engineer, Python - (Logistics, AI Autopilot)","Delivery Hero","Berlin, Berlin, Germany","","",False,"",""
"li-4214737441","linkedin","https://www.linkedin.com/jobs/view/4214737441","","Senior Software Developer (Python)","reeeliance","Berlin, Germany","","",False,"",""
"li-4292805065","linkedin","https://www.linkedin.com/jobs/view/4292805065","","Backend Engineer - Everyday Banking","N26","Berlin, Berlin, Germany","","",False,"",""
"li-4308015859","linkedin","https://www.linkedin.com/jobs/view/4308015859","","(Senior) Backend Developer (Python + Django) -","Instaffo","Berlin, Berlin, Germany","","",False,"",""
"li-4314973140","linkedin","https://www.linkedin.com/jobs/view/4314973140","","Full Stack Developer (f/m/d)","Enpal","Berlin, Berlin, Germany","","",False,"",""
"li-4317327352","linkedin","https://www.linkedin.com/jobs/view/4317327352","","Web Developer (m/w/d)","Elithair","Berlin, Berlin, Germany","","",False,"",""
"li-4316625205","linkedin","https://www.linkedin.com/jobs/view/4316625205","","Software Engineer (.NET Backend) (f/m/d)","Enpal","Berlin, Berlin, Germany","","",False,"",""
"li-4308093999","linkedin","https://www.linkedin.com/jobs/view/4308093999","","Fullstack Software Engineer","TechTree","Berlin, Berlin, Germany","","",False,"",""
